# {"t_start": 1757073748.1518228, "env_id": "graff-v0"} 
r,obj_lift,obj_grab,l,t
5746.894261,0.85,0.855,200,7.948703
5735.79728,0.845,0.845,200,12.573306
5724.920046,0.865,0.875,200,17.266968
2743.295852,0.875,0.875,200,21.936208
4202.718284,0.845,0.855,200,26.602269
3974.343378,0.885,0.885,200,31.289674
5748.12357,0.825,0.85,200,36.040576
5649.761167,0.795,0.81,200,40.79444
5044.863603,0.81,0.835,200,45.625282
5713.22383,0.855,0.86,200,50.448556
4493.145348,0.87,0.87,200,57.650936
2741.321285,0.86,0.87,200,62.481286
5579.383401,0.785,0.79,200,67.248058
5654.877241,0.78,0.79,200,71.950267
5687.951169,0.825,0.83,200,76.550042
5736.955797,0.835,0.84,200,81.364529
5526.843103,0.79,0.795,200,86.15161
5118.204259,0.52,0.52,200,90.913664
3257.780205,0.835,0.86,200,95.747868
5744.374415,0.845,0.85,200,100.465136
5750.398628,0.865,0.87,200,107.483706
4338.281141,0.845,0.865,200,112.394306
5679.239088,0.815,0.815,200,117.12365
3967.660883,0.875,0.875,200,121.915446
5322.87523,0.755,0.765,200,126.684917
3808.670943,0.605,0.605,200,131.527436
4875.088336,0.845,0.855,200,136.309004
5756.789907,0.845,0.86,200,140.908821
5554.240137,0.79,0.795,200,145.623587
4895.303134,0.81,0.82,200,150.165003
5725.697288,0.815,0.83,200,157.404276
5743.210663,0.845,0.85,200,162.095463
5667.290895,0.8,0.805,200,166.832011
5566.370751,0.78,0.795,200,171.523498
5743.570337,0.85,0.85,200,176.141227
5740.931946,0.835,0.84,200,180.864416
5673.324979,0.78,0.795,200,185.527089
5171.732825,0.805,0.83,200,190.167757
4319.197869,0.84,0.86,200,195.008638
3696.032053,0.87,0.87,200,199.848577
3045.668688,0.865,0.875,200,206.634704
5236.673665,0.635,0.64,200,211.399509
3526.158175,0.135,0.235,200,215.975737
3163.039815,0.625,0.655,200,220.678477
4321.127251,0.86,0.86,200,225.518781
5456.883989,0.775,0.78,200,230.265702
4457.674045,0.835,0.855,200,235.077762
3612.100126,0.875,0.875,200,239.793122
4518.787018,0.83,0.855,200,244.590523
5673.913489,0.81,0.81,200,249.381552
5643.705376,0.78,0.78,200,256.418897
5577.787427,0.815,0.82,200,261.196107
3858.521587,0.17,0.215,200,265.960572
4061.533972,0.865,0.88,200,270.719793
5724.980803,0.835,0.835,200,275.456416
5648.485674,0.78,0.785,200,280.100103
5523.832251,0.695,0.695,200,284.65024
2693.429786,0.055,0.075,200,289.34779
5638.174812,0.84,0.85,200,294.178413
5009.77583,0.79,0.815,200,299.09227
5750.103059,0.865,0.875,200,306.466643
4671.880796,0.705,0.705,200,311.255351
2750.319145,0.885,0.89,200,316.060792
5627.435735,0.8,0.805,200,320.917894
5726.204225,0.845,0.845,200,325.749371
5660.464989,0.82,0.83,200,330.599386
4831.50767,0.82,0.83,200,335.400884
5499.415379,0.835,0.835,200,340.272998
5571.14482,0.785,0.8,200,345.172483
5368.189027,0.685,0.69,200,349.963085
2755.816428,0.585,0.585,200,357.205816
5348.832706,0.725,0.745,200,362.001153
2645.052268,0.875,0.875,200,366.827672
5282.128233,0.815,0.825,200,371.641634
4210.567747,0.175,0.19,200,376.358218
4442.378595,0.84,0.855,200,381.169414
2666.526709,0.835,0.86,200,386.02986
4525.906956,0.82,0.84,200,390.680975
5391.95914,0.745,0.76,200,395.253961
3811.579245,0.745,0.745,200,399.990816
5603.935603,0.8,0.8,200,407.130313
3951.803266,0.885,0.885,200,412.014534
2697.375182,0.88,0.88,200,416.821861
5724.335765,0.855,0.855,200,421.677289
5576.578571,0.78,0.78,200,426.518176
5697.438112,0.825,0.83,200,431.344336
5747.140539,0.87,0.87,200,436.250706
5738.141091,0.87,0.87,200,441.081879
4468.995274,0.83,0.845,200,446.001764
5751.685235,0.87,0.88,200,450.769364
2903.858121,0.86,0.865,200,457.742862
4021.617963,0.87,0.875,200,462.629912
5074.490638,0.815,0.815,200,467.466473
5174.620131,0.75,0.765,200,472.295615
4570.604385,0.835,0.845,200,477.060403
4200.91003,0.85,0.855,200,481.925121
3337.970741,0.875,0.89,200,486.792575
5685.057608,0.795,0.8,200,491.62956
4759.458455,0.415,0.425,200,496.290075
5678.81488,0.795,0.8,200,501.042515
