# {"t_start": 1757028363.865705, "env_id": "graff-v0"} 
r,obj_lift,obj_grab,l,t
2564.581922,0.85,0.855,200,6.066628
2473.727175,0.84,0.84,200,10.381273
2547.03754,0.86,0.865,200,14.576033
3541.257739,0.87,0.87,200,18.871009
2880.391987,0.85,0.855,200,24.181603
3533.146624,0.875,0.875,200,28.609262
2505.709528,0.83,0.85,200,33.011591
2283.811279,0.8,0.805,200,37.407728
3488.65778,0.81,0.835,200,42.632857
2525.538502,0.86,0.88,200,47.250285
3904.619695,0.875,0.88,200,51.85125
3392.038603,0.86,0.87,200,56.317694
2480.500815,0.795,0.795,200,61.518337
3198.297924,0.785,0.795,200,65.99766
2494.490694,0.825,0.83,200,70.686421
2578.138249,0.84,0.84,200,75.178673
2384.243222,0.8,0.8,200,80.250845
2748.372623,0.37,0.375,200,84.573661
3145.718808,0.845,0.87,200,88.880539
2645.70669,0.83,0.845,200,93.154838
2531.424988,0.85,0.87,200,98.113112
3065.482808,0.845,0.87,200,102.489127
3401.413822,0.815,0.815,200,106.882567
3321.292138,0.865,0.865,200,111.224023
1989.888263,0.425,0.43,200,116.197029
3096.888644,0.59,0.59,200,120.522395
3043.580554,0.835,0.845,200,124.729221
2523.609277,0.845,0.855,200,129.070442
2516.453752,0.795,0.8,200,134.330123
3495.465032,0.81,0.82,200,138.783264
2481.767396,0.83,0.84,200,143.145288
2568.050221,0.85,0.86,200,147.575264
3426.282894,0.8,0.8,200,152.886744
2948.977808,0.79,0.795,200,157.386321
2441.316778,0.845,0.845,200,161.801795
2537.766023,0.845,0.845,200,166.195808
3343.062693,0.78,0.79,200,171.247166
3420.404281,0.8,0.825,200,175.826011
3718.846537,0.835,0.85,200,180.250418
3532.841128,0.87,0.87,200,184.593561
3069.991665,0.835,0.865,200,189.474231
2914.59224,0.795,0.8,200,193.951368
2538.857904,0.405,0.41,200,198.381423
2916.338136,0.365,0.385,200,202.899274
3731.162659,0.845,0.855,200,208.105896
2471.93906,0.78,0.785,200,212.608561
3639.260681,0.79,0.85,200,217.289421
2884.739655,0.87,0.87,200,221.759166
3639.153918,0.83,0.855,200,227.027469
2363.270455,0.815,0.815,200,231.466923
3088.120016,0.355,0.375,200,236.116449
3627.789522,0.805,0.825,200,240.722197
2293.950804,0.485,0.49,200,245.947154
3742.579541,0.85,0.88,200,250.449853
2568.902757,0.835,0.845,200,254.957631
3739.755468,0.795,0.795,200,259.57208
3083.076746,0.5,0.5,200,264.972675
2304.305968,0.075,0.085,200,269.584517
2423.559968,0.665,0.675,200,274.073064
3558.342624,0.79,0.815,200,278.801441
2591.551011,0.855,0.87,200,284.134181
3422.484417,0.785,0.785,200,288.818321
3354.412137,0.89,0.89,200,293.504013
3463.979781,0.8,0.81,200,298.190329
2609.541435,0.845,0.845,200,303.512788
3646.928576,0.805,0.815,200,308.093347
3501.035997,0.815,0.835,200,312.700995
3643.200584,0.825,0.84,200,317.371184
2919.90351,0.785,0.79,200,322.679622
2568.448664,0.85,0.86,200,327.34941
2723.135145,0.615,0.615,200,332.001909
2624.806539,0.55,0.555,200,336.603294
3097.42446,0.86,0.865,200,341.875911
3654.865456,0.815,0.825,200,346.596515
2335.660853,0.775,0.78,200,351.177562
3545.830178,0.84,0.86,200,355.762087
3199.567194,0.825,0.85,200,361.08483
3752.883642,0.815,0.84,200,365.766827
2547.430327,0.755,0.77,200,370.301316
2568.388503,0.275,0.275,200,374.922138
2709.388037,0.81,0.815,200,380.447964
3552.104556,0.86,0.87,200,385.158494
3092.226966,0.635,0.635,200,389.760278
2190.754865,0.65,0.655,200,394.244643
3453.669072,0.78,0.785,200,399.668474
2620.050149,0.82,0.84,200,404.392309
2529.865626,0.87,0.87,200,408.995304
2611.424077,0.875,0.875,200,413.57639
3758.477944,0.83,0.855,200,418.859059
2307.451602,0.63,0.63,200,423.517821
3281.811942,0.865,0.865,200,428.158781
3283.514876,0.865,0.865,200,432.796072
3682.969109,0.82,0.82,200,438.260589
2665.265099,0.63,0.665,200,443.057002
3629.551514,0.82,0.835,200,447.890476
3654.143612,0.845,0.86,200,452.520834
3674.375638,0.86,0.885,200,457.847996
3897.168334,0.805,0.805,200,462.575284
2286.075413,0.745,0.755,200,467.361636
3727.417634,0.785,0.795,200,472.056216
3746.636768,0.835,0.845,200,477.241259
3701.657212,0.84,0.845,200,481.721522
3787.414956,0.845,0.87,200,486.35057
2880.343797,0.775,0.775,200,491.02322
2753.151946,0.825,0.835,200,496.458285
2593.732705,0.865,0.88,200,501.277458
3637.179035,0.82,0.835,200,506.026155
3731.874354,0.895,0.895,200,510.604971
3693.040441,0.805,0.82,200,515.806915
2665.412222,0.785,0.785,200,520.464005
2508.978768,0.865,0.865,200,525.048544
3790.413078,0.805,0.86,200,529.685929
3723.890176,0.84,0.85,200,535.026721
2535.405408,0.875,0.88,200,539.804936
2553.229339,0.815,0.815,200,544.418435
2879.246706,0.78,0.785,200,549.015034
3192.452275,0.82,0.835,200,554.372928
3403.69413,0.84,0.86,200,559.020911
3623.00248,0.895,0.895,200,563.739599
3885.147154,0.82,0.82,200,568.352296
3692.028247,0.79,0.805,200,573.559441
3789.55079,0.845,0.87,200,578.17821
3402.988368,0.845,0.85,200,582.803127
3148.465612,0.56,0.61,200,587.399548
3255.029539,0.58,0.605,200,592.598373
3165.753387,0.66,0.675,200,597.276212
2559.504638,0.86,0.86,200,601.833192
2494.455967,0.84,0.84,200,606.342402
3722.563601,0.84,0.845,200,611.428943
3897.046851,0.805,0.83,200,616.018768
2203.808064,0.575,0.585,200,620.525455
2992.93651,0.81,0.81,200,625.048008
2527.259124,0.87,0.87,200,630.535999
3755.311769,0.865,0.865,200,635.220634
2939.201975,0.79,0.8,200,639.810978
3807.621796,0.81,0.815,200,644.519358
3066.641314,0.815,0.82,200,649.762908
2548.75082,0.84,0.86,200,654.445581
3685.308515,0.88,0.88,200,658.858411
2553.026316,0.85,0.86,200,663.44668
3885.660565,0.79,0.8,200,668.620192
3804.898673,0.815,0.835,200,673.301949
2510.150367,0.85,0.85,200,677.889762
2381.518922,0.49,0.51,200,682.319808
3841.076321,0.785,0.795,200,687.477976
2760.861992,0.685,0.69,200,692.072518
3839.730225,0.81,0.815,200,696.528702
3978.856889,0.8,0.815,200,701.058019
3762.25774,0.85,0.87,200,706.346323
2942.294953,0.795,0.795,200,711.035359
3498.531704,0.855,0.86,200,715.696038
3929.678005,0.78,0.785,200,720.277413
3534.296347,0.85,0.87,200,725.520053
3688.038845,0.835,0.85,200,730.230417
3368.724531,0.85,0.865,200,734.870322
2820.733183,0.48,0.495,200,739.400405
2579.707054,0.865,0.885,200,744.770081
3670.502595,0.855,0.87,200,749.344101
3702.237204,0.87,0.88,200,753.966474
3679.778174,0.83,0.845,200,758.504385
2585.052624,0.855,0.86,200,763.834707
3884.522636,0.815,0.82,200,768.446852
3738.275729,0.825,0.845,200,773.055902
3835.6616,0.83,0.85,200,777.726671
3746.375864,0.825,0.845,200,783.039387
3964.144554,0.8,0.81,200,787.703546
3140.806776,0.83,0.83,200,792.3426
3743.892233,0.785,0.81,200,797.067269
2616.951588,0.845,0.86,200,802.415894
3831.536752,0.885,0.895,200,807.11392
2587.540254,0.87,0.875,200,811.746598
2871.43527,0.68,0.68,200,816.385058
2526.410635,0.845,0.845,200,821.615856
3952.449301,0.76,0.77,200,826.286928
2964.302479,0.78,0.78,200,830.877022
2489.211547,0.83,0.83,200,835.394464
2571.355378,0.855,0.86,200,840.659907
2515.877403,0.83,0.85,200,845.366886
3717.077157,0.74,0.745,200,850.09774
3983.062754,0.795,0.805,200,854.738616
2392.675087,0.77,0.78,200,860.187875
3926.660617,0.8,0.82,200,864.678731
3149.542201,0.8,0.81,200,869.279169
2604.309515,0.845,0.86,200,873.604547
3426.447082,0.875,0.875,200,878.796971
3685.366032,0.89,0.895,200,883.339785
3332.057457,0.85,0.86,200,887.819882
3754.523629,0.845,0.855,200,892.392946
3893.498751,0.815,0.82,200,897.534461
3978.047304,0.785,0.805,200,902.072329
2554.560954,0.83,0.83,200,906.567245
2792.446602,0.84,0.85,200,911.161474
3719.663044,0.84,0.855,200,916.464987
2665.468738,0.84,0.86,200,921.015596
3018.212442,0.48,0.495,200,925.749757
3478.286641,0.88,0.88,200,930.326606
3891.462083,0.795,0.795,200,935.518087
3116.552481,0.775,0.785,200,940.100441
3968.442947,0.79,0.79,200,944.628273
2948.322226,0.485,0.485,200,949.13249
3783.481645,0.85,0.865,200,954.378341
3643.075468,0.87,0.875,200,958.833253
3980.54921,0.815,0.84,200,963.433873
3281.626722,0.535,0.54,200,968.07618
2673.472783,0.255,0.255,200,973.425238
3973.608461,0.78,0.78,200,978.0262
3726.156408,0.81,0.815,200,982.60877
3272.761573,0.805,0.815,200,987.217623
4104.522503,0.82,0.83,200,992.319744
3445.234446,0.815,0.82,200,996.769292
3029.973108,0.785,0.785,200,1001.349176
3735.197057,0.855,0.86,200,1005.833758
3670.178492,0.835,0.84,200,1011.175225
2590.892726,0.855,0.855,200,1015.614912
2226.63257,0.515,0.525,200,1020.106599
2577.263626,0.85,0.87,200,1024.699124
3729.811636,0.845,0.855,200,1029.980137
3746.081569,0.835,0.86,200,1034.519749
3162.371449,0.77,0.78,200,1039.13842
3787.875647,0.88,0.88,200,1043.519314
4045.82745,0.875,0.875,200,1048.827839
4086.140448,0.81,0.82,200,1053.528817
3959.99385,0.82,0.82,200,1058.02489
3222.21523,0.82,0.825,200,1062.580307
3501.956348,0.845,0.86,200,1067.773515
2634.65527,0.855,0.86,200,1072.358495
2614.451474,0.47,0.47,200,1076.853595
2528.615577,0.83,0.85,200,1081.405078
3732.557546,0.885,0.885,200,1086.526854
4124.832945,0.795,0.83,200,1090.946363
3141.663467,0.805,0.815,200,1095.621214
3474.557756,0.825,0.84,200,1100.121183
3347.610074,0.825,0.84,200,1105.69756
2514.864432,0.845,0.845,200,1110.2708
3783.716096,0.89,0.9,200,1114.779964
3334.77871,0.81,0.82,200,1119.312372
3721.584037,0.84,0.86,200,1124.535599
3775.480634,0.88,0.88,200,1129.102916
2607.426195,0.85,0.88,200,1133.597889
3837.776892,0.82,0.82,200,1138.260297
3446.12494,0.835,0.835,200,1143.505946
4100.375244,0.825,0.835,200,1147.993448
3969.048124,0.785,0.785,200,1152.556838
4094.831221,0.81,0.825,200,1157.159136
2209.178602,0.41,0.415,200,1162.323512
3677.325645,0.87,0.87,200,1166.764143
3189.597839,0.825,0.84,200,1171.180649
3160.82228,0.795,0.805,200,1175.693522
4059.631721,0.815,0.815,200,1180.90291
4017.859374,0.795,0.81,200,1185.53826
4093.253538,0.85,0.855,200,1190.04609
3079.173343,0.79,0.795,200,1194.627837
3392.560933,0.81,0.815,200,1199.966495
4126.524328,0.805,0.815,200,1204.626961
3158.143369,0.785,0.795,200,1209.215632
3838.60559,0.795,0.81,200,1213.780052
