# {"t_start": 1757022630.442236, "env_id": "graff-v0"} 
r,obj_lift,obj_grab,l,t
1569.764336,0.82,0.83,200,7.825459
1634.513597,0.89,0.89,200,12.263676
1348.467487,0.825,0.835,200,16.687994
1338.679738,0.815,0.835,200,21.057008
1539.401199,0.83,0.83,200,26.704449
1377.113391,0.79,0.8,200,31.322027
1347.598056,0.795,0.795,200,35.982362
1519.510063,0.875,0.875,200,40.576407
1619.170782,0.85,0.85,200,45.757439
1474.705699,0.885,0.885,200,50.252746
1482.360465,0.79,0.795,200,54.956355
1595.778091,0.84,0.85,200,59.729225
1341.386588,0.825,0.835,200,65.153724
1057.336381,0.445,0.465,200,69.692949
1486.011021,0.785,0.8,200,74.390326
1386.827113,0.845,0.865,200,79.1364
1482.911272,0.875,0.875,200,84.384468
1539.7427,0.88,0.88,200,88.913277
1556.313361,0.815,0.825,200,93.660193
1532.871089,0.81,0.81,200,98.352491
904.528442,0.135,0.17,200,103.637195
1383.755927,0.78,0.785,200,108.157239
1602.702219,0.84,0.84,200,112.785345
1503.329287,0.815,0.82,200,117.452205
1369.826466,0.79,0.81,200,122.395082
1655.431558,0.85,0.86,200,127.109811
1379.077514,0.825,0.84,200,131.786816
1568.238341,0.835,0.835,200,136.272373
1558.558449,0.835,0.84,200,141.760349
1622.66513,0.845,0.845,200,146.47537
1448.902257,0.78,0.78,200,151.229931
1585.257952,0.82,0.84,200,156.04232
1368.991478,0.8,0.825,200,161.624631
1355.492122,0.82,0.84,200,166.231066
1721.536858,0.87,0.875,200,171.024452
1503.445576,0.805,0.815,200,175.851801
1488.521146,0.635,0.65,200,181.235792
1364.39822,0.815,0.83,200,185.914038
1562.24559,0.82,0.82,200,190.638094
1692.740558,0.86,0.875,200,195.329982
1363.07692,0.795,0.815,200,200.721906
1432.161744,0.84,0.85,200,205.540226
1352.953796,0.825,0.85,200,210.333295
1403.331063,0.835,0.85,200,214.851794
1237.277433,0.45,0.465,200,220.189816
1376.594068,0.79,0.8,200,224.909674
1408.205725,0.78,0.795,200,229.585453
1403.769944,0.865,0.865,200,234.417675
1344.896856,0.835,0.865,200,239.639066
1703.121005,0.86,0.87,200,244.372352
1377.743751,0.825,0.84,200,249.17075
1541.317557,0.83,0.83,200,253.866195
1317.564755,0.525,0.525,200,259.218906
1667.844777,0.855,0.855,200,263.941774
1350.721327,0.805,0.835,200,268.764752
1340.394727,0.75,0.755,200,273.519746
1453.113177,0.865,0.87,200,278.823247
1357.121037,0.795,0.81,200,283.485646
1651.716583,0.85,0.865,200,288.171264
1543.732274,0.805,0.815,200,292.839348
1511.817696,0.85,0.85,200,298.233751
1553.657889,0.77,0.77,200,302.853371
1584.163685,0.825,0.84,200,307.38225
1482.545099,0.78,0.79,200,312.043995
1508.322976,0.885,0.885,200,317.289662
1377.440505,0.855,0.86,200,321.916454
1663.299492,0.85,0.85,200,326.646452
1407.972395,0.785,0.8,200,331.294985
1418.744052,0.835,0.855,200,336.500238
1331.71495,0.79,0.79,200,341.177469
1293.99467,0.835,0.835,200,345.847224
1704.518213,0.855,0.875,200,350.514288
1641.349854,0.845,0.85,200,355.849732
1415.086081,0.785,0.79,200,360.551429
1394.657962,0.835,0.865,200,365.243893
1389.378644,0.77,0.785,200,369.9943
1665.529178,0.865,0.865,200,375.283387
1353.612967,0.84,0.845,200,380.033039
1395.013391,0.84,0.845,200,384.559695
1697.10217,0.87,0.87,200,389.208948
1693.206093,0.86,0.875,200,394.817654
1490.088056,0.78,0.785,200,399.477964
1359.222063,0.805,0.81,200,404.189887
1358.122733,0.8,0.82,200,408.892902
1614.227629,0.84,0.84,200,414.186986
1376.180636,0.78,0.78,200,418.849049
