# {"t_start": 1755727298.038191, "env_id": "graff-v0"} 
r,obj_lift,obj_grab,l,t
10.626853,0.0,0.0,200,120.119254
-0.503965,0.0,0.0,200,222.13469
21.849316,0.0,0.005,200,319.500981
-10.364986,0.0,0.0,200,416.423152
-11.41196,0.0,0.0,200,513.039427
13.425736,0.0,0.0,200,605.707959
-14.150444,0.0,0.0,200,698.118563
-7.073413,0.0,0.0,200,788.99969
19.626567,0.0,0.0,200,878.918458
23.214889,0.0,0.0,200,969.01263
22.905833,0.02,0.055,200,1061.698576
-14.064153,0.0,0.0,200,1151.115866
-23.477343,0.0,0.0,200,1242.617804
9.172771,0.0,0.0,200,1329.313868
1.807777,0.0,0.0,200,1417.601069
18.660947,0.0,0.005,200,1506.30815
10.667333,0.0,0.0,200,1595.715324
-25.833858,0.0,0.0,200,1683.736323
11.649612,0.0,0.0,200,1771.129727
-21.089721,0.0,0.0,200,1859.034052
-23.736317,0.0,0.0,200,1950.806751
-35.814906,0.0,0.0,200,2036.116498
-35.405816,0.0,0.0,200,2120.998544
37.53581,0.02,0.065,200,2207.498748
26.13903,0.005,0.015,200,2295.029784
-78.772094,0.0,0.0,200,2382.149232
-53.459916,0.0,0.0,149,2448.122513
27.062688,0.0,0.025,200,2537.899538
-71.092688,0.0,0.0,197,2624.903277
30.191539,0.005,0.03,200,2711.436992
29.65414,0.01,0.015,200,2799.80311
32.170859,0.015,0.05,200,2887.232648
-77.155504,0.0,0.0,200,2974.317485
27.486908,0.02,0.045,200,3059.115382
31.570986,0.02,0.07,200,3145.607855
24.581725,0.0,0.025,200,3231.341613
25.377622,0.01,0.025,200,3317.524012
31.237882,0.005,0.045,200,3403.719105
34.453679,0.02,0.08,200,3491.147035
24.363808,0.005,0.025,200,3576.700097
26.323426,0.0,0.02,200,3663.699972
25.467479,0.005,0.015,200,3752.100825
27.084743,0.005,0.02,200,3839.528719
-54.433749,0.0,0.0,200,3927.324373
-21.440996,0.0,0.0,200,4014.654947
25.825316,0.005,0.04,200,4101.612252
25.179688,0.005,0.015,200,4188.327263
22.248149,0.005,0.005,200,4274.005519
36.517809,0.045,0.065,200,4360.424527
29.153934,0.02,0.035,200,4446.304991
24.085923,0.0,0.025,200,4533.01365
30.934447,0.0,0.035,200,4623.43101
24.856071,0.0,0.02,200,4708.90759
28.968024,0.005,0.035,200,4795.34166
40.403158,0.015,0.08,200,4879.225559
26.891207,0.0,0.01,200,4964.823172
25.858934,0.0,0.005,200,5052.505443
-36.892974,0.0,0.0,200,5138.241135
30.253665,0.005,0.04,200,5225.520186
-11.793173,0.0,0.0,200,5310.327756
