# {"t_start": 1755905233.2348177, "env_id": "graff-v0"} 
r,obj_lift,obj_grab,l,t
64.9718,0.0,0.0,200,65.445769
55.856487,0.005,0.005,200,121.245476
51.085018,0.0,0.0,200,177.535668
40.090371,0.0,0.0,200,231.826566
47.006846,0.0,0.0,200,286.830852
17.471213,0.0,0.0,200,370.52414
30.329825,0.0,0.0,200,450.660627
54.128958,0.0,0.0,200,533.046619
50.660035,0.0,0.0,200,614.140203
58.125482,0.0,0.0,200,695.204873
61.853189,0.0,0.0,200,773.847558
74.099298,0.0,0.0,200,853.042253
117.214361,0.0,0.0,200,929.552882
146.152877,0.0,0.0,200,1004.711726
54.908352,0.0,0.0,200,1080.244214
146.078855,0.0,0.0,200,1156.045439
103.741004,0.0,0.0,200,1230.521443
124.812461,0.0,0.0,200,1306.707749
68.631778,0.0,0.0,200,1381.303707
49.196908,0.0,0.0,200,1455.761984
44.595085,0.0,0.0,190,1530.005253
171.705603,0.0,0.0,200,1606.226509
24.707647,0.0,0.0,96,1643.532055
24.451791,0.0,0.0,96,1678.939595
172.012998,0.0,0.0,200,1756.466321
69.30606,0.0,0.0,200,1831.744742
183.678192,0.0,0.0,200,1906.053661
61.252911,0.0,0.0,200,1982.504086
60.852852,0.0,0.0,200,2058.23623
55.53637,0.0,0.0,200,2135.551022
17.741137,0.0,0.0,200,2213.676948
22.54447,0.0,0.0,200,2289.861108
185.243907,0.0,0.0,200,2365.650222
197.092403,0.0,0.0,200,2441.448498
54.363013,0.0,0.0,200,2519.009067
63.309054,0.0,0.0,200,2595.241661
132.593893,0.0,0.0,200,2670.016774
181.27003,0.0,0.0,200,2747.312214
57.031548,0.0,0.0,200,2817.748298
133.377218,0.0,0.0,200,2888.202812
167.841436,0.0,0.0,200,2959.044183
200.708549,0.0,0.0,200,3030.926724
192.447209,0.0,0.0,200,3101.644169
191.448235,0.0,0.0,200,3173.744057
205.298266,0.0,0.0,200,3250.003215
179.95853,0.0,0.0,200,3323.47999
179.259697,0.0,0.0,200,3393.756848
200.40143,0.0,0.0,200,3466.512989
181.644414,0.0,0.0,200,3537.743182
194.834194,0.0,0.0,200,3609.14084
181.910995,0.0,0.0,200,3680.247608
74.705113,0.0,0.0,200,3749.856664
117.731475,0.0,0.0,200,3823.832202
192.586314,0.0,0.0,200,3894.93606
189.121673,0.0,0.0,200,3968.460364
171.017522,0.0,0.0,200,4040.753996
192.434626,0.0,0.0,200,4112.754316
170.733186,0.0,0.0,200,4185.944325
175.827313,0.0,0.0,200,4261.334111
41.280605,0.0,0.0,200,4332.313915
177.68737,0.0,0.0,200,4406.239821
39.609054,0.0,0.0,200,4477.050658
142.075516,0.0,0.0,200,4546.253408
42.529311,0.0,0.0,200,4618.854501
192.383275,0.0,0.0,200,4690.022713
177.848853,0.0,0.0,200,4760.42582
166.588539,0.0,0.0,200,4832.050795
161.841691,0.0,0.0,200,4903.802708
170.010291,0.0,0.0,200,4974.448924
154.93248,0.0,0.0,200,5048.861932
164.750708,0.0,0.0,200,5121.858639
178.937836,0.0,0.0,200,5193.263217
163.419053,0.0,0.0,200,5264.941417
178.743378,0.0,0.0,200,5334.059723
194.328374,0.0,0.0,200,5404.404059
179.519673,0.0,0.0,200,5474.764239
185.4578,0.0,0.0,200,5529.329731
192.138115,0.0,0.0,200,5576.632074
195.16866,0.0,0.0,200,5640.931165
192.628753,0.0,0.0,200,5694.724733
205.254782,0.0,0.0,200,5743.802966
165.678974,0.0,0.0,200,5792.651651
183.373402,0.0,0.0,200,5844.648567
184.130066,0.0,0.0,200,5913.363071
132.351252,0.0,0.0,200,5962.634967
177.208613,0.0,0.0,200,6019.177554
187.292875,0.0,0.0,200,6079.023474
182.302177,0.0,0.0,200,6140.28233
195.407411,0.0,0.0,200,6203.223398
195.79147,0.0,0.0,200,6250.946684
184.120822,0.0,0.0,200,6298.567513
143.406912,0.0,0.0,200,6348.436961
190.933942,0.0,0.0,200,6397.540533
170.465065,0.0,0.0,200,6451.811639
130.472544,0.0,0.0,200,6514.302518
141.633011,0.0,0.0,200,6573.619656
179.539942,0.0,0.0,200,6632.744126
190.112716,0.0,0.0,200,6703.770045
156.268853,0.0,0.0,200,6763.646454
175.883123,0.0,0.0,200,6821.736395
182.986412,0.0,0.0,200,6878.628169
195.618566,0.0,0.0,200,6927.143094
194.568373,0.0,0.0,200,6986.841504
199.071482,0.0,0.0,200,7052.443153
194.969078,0.0,0.0,200,7111.650238
199.278283,0.0,0.0,200,7178.621621
184.918616,0.0,0.0,200,7226.317893
190.165457,0.0,0.0,200,7281.061406
179.678997,0.0,0.0,200,7340.05106
178.384929,0.0,0.0,200,7388.731719
196.931208,0.0,0.0,200,7436.12249
177.783267,0.0,0.0,200,7502.146417
166.299759,0.0,0.0,200,7572.063161
150.264396,0.0,0.0,200,7642.24866
208.121186,0.0,0.0,200,7713.53835
215.192617,0.0,0.0,200,7768.207219
213.343961,0.0,0.0,200,7815.033758
216.757278,0.0,0.0,200,7874.904423
220.732148,0.0,0.0,200,7934.117979
193.530096,0.0,0.0,200,8000.870332
175.313804,0.0,0.0,200,8047.556345
208.812393,0.0,0.0,200,8096.555667
205.059293,0.0,0.0,200,8144.028225
216.165517,0.0,0.0,200,8190.949867
180.117031,0.0,0.0,200,8237.934169
219.931842,0.0,0.0,200,8293.344933
200.608948,0.0,0.0,200,8343.834933
219.720505,0.0,0.0,200,8406.258498
202.756272,0.0,0.0,200,8468.526834
215.580181,0.0,0.0,200,8523.157362
204.42372,0.0,0.0,200,8587.310496
