# {"t_start": 1755548921.5077465, "env_id": "graff-v0"} 
r,obj_lift,obj_grab,l,t
-19.527939,0.0,0.0,200,32.835167
-19.640345,0.0,0.0,201,33.005052
-19.752802,0.0,0.0,202,33.162932
-19.863548,0.0,0.0,203,33.307906
-19.970535,0.0,0.0,204,33.462704
-20.072394,0.0,0.0,205,33.605595
-20.171684,0.0,0.0,206,33.755871
-20.269013,0.0,0.0,207,33.906456
-20.364792,0.0,0.0,208,34.055207
-20.458829,0.0,0.0,209,34.210285
-20.551215,0.0,0.0,210,34.356877
-20.645329,0.0,0.0,211,34.506042
-20.74259,0.0,0.0,212,34.664072
-20.841657,0.0,0.0,213,34.812672
-20.940457,0.0,0.0,214,34.968537
-21.036985,0.0,0.0,215,35.121815
-21.134767,0.0,0.0,216,35.275904
-21.237755,0.0,0.0,217,35.423229
-21.342492,0.0,0.0,218,35.563216
-21.448582,0.0,0.0,219,35.710155
-21.553615,0.0,0.0,220,35.858332
-21.654697,0.0,0.0,221,36.009968
-21.752069,0.0,0.0,222,36.165005
-21.84563,0.0,0.0,223,36.316314
-21.936715,0.0,0.0,224,36.468733
-22.025818,0.0,0.0,225,36.618752
-22.113048,0.0,0.0,226,36.766665
-22.201699,0.0,0.0,227,36.919339
-22.296249,0.0,0.0,228,37.078802
-22.398288,0.0,0.0,229,37.230038
-22.504282,0.0,0.0,230,37.379642
-22.608685,0.0,0.0,231,37.534374
-22.709972,0.0,0.0,232,37.887007
-22.808259,0.0,0.0,233,38.163608
-22.903439,0.0,0.0,234,38.314995
-22.995526,0.0,0.0,235,38.465482
-23.087018,0.0,0.0,236,38.608917
-23.177673,0.0,0.0,237,38.756687
-23.264692,0.0,0.0,238,38.901801
-23.351729,0.0,0.0,239,39.047391
-23.442784,0.0,0.0,240,39.204438
-23.536411,0.0,0.0,241,39.349699
-23.627254,0.0,0.0,242,39.496567
-23.715405,0.0,0.0,243,39.639099
-23.80519,0.0,0.0,244,39.78154
-23.898261,0.0,0.0,245,39.923792
-23.994955,0.0,0.0,246,40.065133
-24.094856,0.0,0.0,247,40.206229
-24.193069,0.0,0.0,248,40.350877
-24.289547,0.0,0.0,249,40.506134
-24.386003,0.0,0.0,250,40.652358
-24.480524,0.0,0.0,251,40.793542
-24.570257,0.0,0.0,252,40.938139
-24.654272,0.0,0.0,253,41.081949
-24.732421,0.0,0.0,254,41.227616
-24.807808,0.0,0.0,255,41.374982
-24.883862,0.0,0.0,256,41.516599
-24.962,0.0,0.0,257,41.655917
-25.042461,0.0,0.0,258,41.79105
-25.124015,0.0,0.0,259,41.926929
-25.204724,0.0,0.0,260,42.063934
-25.288201,0.0,0.0,261,42.215012
-25.375799,0.0,0.0,262,42.354261
-25.462186,0.0,0.0,263,42.491708
-25.548258,0.0,0.0,264,42.624798
-25.632617,0.0,0.0,265,42.76697
-25.71068,0.0,0.0,266,42.920378
-25.78122,0.0,0.0,267,43.059202
-25.846466,0.0,0.0,268,43.1995
-25.909856,0.0,0.0,269,43.342244
-25.973009,0.0,0.0,270,43.481132
-26.036587,0.0,0.0,271,43.61372
-26.101196,0.0,0.0,272,43.744108
-26.169116,0.0,0.0,273,43.881103
-26.242585,0.0,0.0,274,44.018285
-26.317737,0.0,0.0,275,44.15021
-26.392934,0.0,0.0,276,44.287452
-26.469918,0.0,0.0,277,44.434066
-26.549254,0.0,0.0,278,44.568151
-26.629743,0.0,0.0,279,44.710223
-26.710726,0.0,0.0,280,44.845467
-26.791388,0.0,0.0,281,44.983917
-26.869282,0.0,0.0,282,45.123744
-26.943125,0.0,0.0,283,45.270631
-27.014924,0.0,0.0,284,45.4069
-27.089326,0.0,0.0,285,45.552011
-27.164107,0.0,0.0,286,45.692912
-27.239412,0.0,0.0,287,45.835284
-27.320802,0.0,0.0,288,45.982656
-27.408413,0.0,0.0,289,46.125109
-27.501213,0.0,0.0,290,46.263479
-27.598075,0.0,0.0,291,46.398726
-27.693716,0.0,0.0,292,46.536192
-27.785718,0.0,0.0,293,46.670408
-27.874894,0.0,0.0,294,46.797257
-27.964624,0.0,0.0,295,46.928472
-28.058246,0.0,0.0,296,47.058731
-28.156565,0.0,0.0,297,47.191988
-28.260842,0.0,0.0,298,47.32837
-28.367677,0.0,0.0,299,47.460345
-28.476519,0.0,0.0,300,47.599833
-28.586693,0.0,0.0,301,47.760452
-28.695268,0.0,0.0,302,47.887768
-28.801885,0.0,0.0,303,48.02116
-28.906067,0.0,0.0,304,48.15338
-29.01209,0.0,0.0,305,48.283907
-29.127907,0.0,0.0,306,48.42194
-29.253007,0.0,0.0,307,48.562087
-29.382152,0.0,0.0,308,48.707927
-29.512274,0.0,0.0,309,48.844898
-29.642223,0.0,0.0,310,48.987452
-29.7745,0.0,0.0,311,49.338585
-29.909228,0.0,0.0,312,49.475239
-30.045779,0.0,0.0,313,49.611733
-30.187409,0.0,0.0,314,49.747392
-30.333963,0.0,0.0,315,49.892216
-30.482418,0.0,0.0,316,50.032924
-30.631155,0.0,0.0,317,50.169815
-30.779883,0.0,0.0,318,50.434987
-30.929306,0.0,0.0,319,50.579464
